Sub-Category,Sales,Profit,Quantity
Phones,330007.054,44515.7306,3289.0
Chairs,328449.103,26590.1663,2356.0
Storage,223843.608,21278.8264,3158.0
Tables,206965.532,-17725.4811,1241.0
Binders,203412.733,30221.7633,5974.0
Machines,189238.631,3384.7569,440.0
Accessories,167380.318,41936.6357,2976.0
Copiers,149528.03,55617.8249,234.0
Bookcases,114879.9963,-3472.556,868.0
Appliances,107532.16100000001,18138.005400000002,1729.0
Furnishings,91705.164,13059.1436,3563.0
Paper,78479.206,34053.5693,5178.0
Supplies,46673.538,-1189.0995,647.0
Art,27118.792,6527.787,3000.0
Envelopes,16476.402,6964.1767,906.0
Labels,12486.312,5546.254,1400.0
Fasteners,3024.28,949.5182,914.0
