Product Name,Sales,Profit,Quantity
Canon imageCLASS 2200 Advanced Copier,61599.824,25199.928,20.0
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,27453.384000000002,7753.039,31.0
Cisco TelePresence System EX90 Videoconferencing Unit,22638.48,-1811.0784,6.0
HON 5400 Series Task Chairs for Big and Tall,21870.576,5.684341886080802e-14,39.0
GBC DocuBind TL300 Electric Binding System,19823.479,2233.5051000000003,37.0
GBC Ibimaster 500 Manual ProClick Binding System,19024.5,760.9799999999996,48.0
Hewlett Packard LaserJet 3310 Copier,18839.686,6983.8836,38.0
"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",18374.895,4094.9766,12.0
GBC DocuBind P400 Electric Binding System,17965.068,-1878.1662000000003,27.0
High Speed Automatic Electric Letter Opener,17030.311999999998,-262.00480000000005,11.0
Lexmark MX611dhe Monochrome Laser Printer,16829.901,-4589.973,18.0
Martin Yale Chadless Opener Electric Letter Opener,16656.2,-1299.1836,22.0
Ibico EPK-21 Electric Binding System,15875.916000000001,3345.2823,13.0
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",15610.9656,-669.5448000000001,24.0
"3D Systems Cube Printer, 2nd Generation, Magenta",14299.89,3717.9714000000004,11.0
